POPS_Number,Name,Street,Zipcode,Latitude,Longitude,Borough,Borocode,Type,Location,Open_Hours,Seating,Seating_and_Tables,Food_Service,Art,Restrooms,Special_Amenities,Special_Amenities_Description,Signage,Landscaping_Description,Landscaping,Physically_Disabled,Year_Completed,Construction_Status,Size_Required,Community Board,Developer,Building_Architect,Principal_Public_Space_Designer,XCoordinate,YCoordinate,Council District,Census Tract,BIN,BBL,NTA,Tax_Block_Number,Tax_Lot_Number
K010001,Pfizer Sites Development,WALLABOUT STREET,11206,-73.949289,40.700743,Brooklyn,3,Public Access Area,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Under Construction,NULL,1,"Harrison Realty, LLC",NULL,NULL,998311,194580,33,507,3335457,3022650014,Bedford,2265,14
M010032,NULL,BATTERY PARK PLAZA,10004,-74.01373,40.703347,Manhattan,1,Plaza,"Full block bounded by Whitehall Street, State Street, Pearl Street and Bridge Street",24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1969,Completed,Plaza 16337.00 sf,1,NULL,Emery Roth & Sons,Emery Roth & Sons,980443,195525,1,9,1000021,1000090029,Battery Park City-Lower Manhattan,9,29
M020001,Georgetown Plaza,EAST 8 STREET,10003,-73.993076,40.730499,Manhattan,1,Plaza,Southeast corner of East 8th and Mercer Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1966,Completed,Plaza 10975.00 sf,2,Rose Associates,Boak & Rad,Boak & Rad,986169,205417,1,57,1080855,1005487501,West Village,548,7501
M050046,Westvaco,PARK AVENUE,10171,-73.974138,40.756014,Manhattan,1,Arcade; Plaza,East side of Park Avenue between East 48th and 49th Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,None,1967,Completed,Arcade 578.30 sf; Plaza 15313.00 sf,5,Park Lane Holding Corporation,Emery Roth & Sons,Emery Roth & Sons,991415,214714,4,92,1036223,1013030001,Turtle Bay-East Midtown,1303,1
M060022,New York Tower,EAST 39 STREET,10016,-73.972452,40.747088,Manhattan,1,Plaza,South side of East 39th Street between First and Second Avenues,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1980,Completed,Plaza 11512.00 sf,6,NULL,"Schuman, Lichtenstein, Claman & Efron","Schuman, Lichtenstein, Claman & Efron",991883,211462,4,78,1021923,1009440010,Murray Hill-Kips Bay,944,10
M060058,NULL,THIRD AVENUE,10022,-73.967589,40.758963,Manhattan,1,Plaza,East side of Third Avenue between East 55th and 56th Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1970,Completed,Plaza 19772.00 sf,6,NULL,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill",993229,215789,4,108,1038577,1013290001,Turtle Bay-East Midtown,1329,1
M060090,Alexandria Science Center,EAST 29 STREET,10016,-73.974328,40.739922,Manhattan,1,Public Access Area,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,6,NULL,NULL,NULL,991364,208851,4,62,1087989,1009627502,Murray Hill-Kips Bay,962,7502
M080057,Adams Tower,EAST 84 STREET,10028,-73.950441,40.775988,Manhattan,1,Plaza,Full blockfront on west side of First Avenue between East 84th and 85th Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1969,Completed,Plaza 6694.95 sf,8,NULL,Wechsler & Schimenti,Wechsler & Schimenti,997976,221994,5,146.01,1049968,1015470023,Yorkville,1547,23
M080072,Caldwell,YORK AVENUE,10028,-73.949394,40.772184,Manhattan,1,Plaza,Northeast corner of York Avenue and East 80th Street,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1972,Completed,Plaza 7385.52 sf,8,NULL,Philip Birnbaum,Philip Birnbaum,998267,220608,5,136,1050869,1015770001,Yorkville,1577,1
Q020002,NULL,QUEENS BOULEVARD,11377,-73.8953,40.739685,Queens,4,Pedestrian Walkway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Full/Partial,0,NULL,NULL,2,NULL,NULL,RGR Landscape,1013264,208781,30,489,4000000,4024320009,Elmhurst-Maspeth,2432,9
X010001,La Central,BROOK AVENUE,10455,-73.913747,40.817686,Bronx,2,Skate Park,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Completed,NULL,1,NULL,NULL,NULL,1008124,237194,17,71,2127324,2023610050,Melrose South-Mott Haven North,2361,50
R020001,Landmark Colony,BRIELLE AVENUE,10314,-74.13974,40.59183,Staten Island,5,Publicly Accessible Open Space,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,None,0,NULL,NULL,2,NULL,NULL,NULL,945440,154927,50,273.02,5134761,5019550001,New Springville-Bloomfield-Travis,1955,1
M110003,Sendero Verde,EAST 112 STREET,10029,-73.946059,40.796772,Manhattan,1,Public Access Area,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Completed,NULL,11,NULL,"Handel Architects, LLP",DLAND studio,999185,229567,8,174.02,1000000,1016170020,East Harlem South,1617,20
Q060001,Rego Park Mall,JUNCTION BOULEVARD,11374,-73.864192,40.733477,Queens,4,Publicly Accessible Pedestrian Area,"Full block bounded by Horace Harding Expressway, 97th Street, 62nd Drive, and Junction Boulevard",Restricted Hours,Yes,Yes,No,No,NULL,Yes,Elevator; Escalator; Lighting; Security; Kiosk,Yes,Planting,Yes,Unknown,2010,Completed,Publicly Accessible Pedestrian Area 0.00 sf,6,Vornado Realty Trust,Greenberg Farrow,Greenberg Farrow,1021888,206531,29,717.02,4000000,4020800101,Rego Park,2080,101
M010058,Verizon Building,PEARL STREET,10038,-74.001176,40.710907,Manhattan,1,Arcade; Plaza,Pearl Street bounded by Avenue of the Finest and Madison Street,24 Hours,Yes,Yes,Yes,No,NULL,Yes,Bicycle Parking; Drinking Fountain; Food Service; Lighting; Litter Receptacles; Light Sculpture,Yes,Planting; Trees on Street; Trees within Space,Yes,Unknown,1971,Completed,Arcade 0.00 sf; Plaza 19500.00 sf,1,"Intergate Manhattan, LLC","Rose, Beaton & Rose Architects & Engineers",; Starr Whitehouse Landscape Architects & Planners PLLC (Design Change and Arcade Reduction 11/06/2017),983924,198279,1,29,1001389,1001137501,Chinatown,113,7501
M080089,Normandie Court,EAST 95 STREET,10128,-73.948251,40.78426,Manhattan,1,Residential Plaza,North side of East 95th Street between First and Second Avenues,24 Hours,Yes,No,No,No,NULL,Yes,Bicycle Parking; Drinking Fountain; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1986,Completed,Residential Plaza 19863.00 sf,8,Milstein Properties,Abraham D. Levitt Associates/The Vilkas Group,Abraham D. Levitt Associates/The Vilkas Group; Thomas Balsley Associates,998581,225008,5,156.01,1083228,1015410021,Yorkville,1541,21
M050007,Galleria,EAST 57 STREET,10022,-73.969757,40.761711,Manhattan,1,Covered Pedestrian Space,North side of East 57th Street between Lexington and Park Avenues,Restricted Hours,Yes,Yes,NULL,No,NULL,Yes,Climate Control; Lighting; Programs; Retail Frontage; Skylight,Yes,Planting; Trees within Space; Water Feature,Yes,Full/Partial,1974,Completed,Covered Pedestrian Space 7419.29 sf,5,NULL,David Kenneth Specter/Philip Birnbaum,David Kenneth Specter,992628,216790,4,112.03,1036926,1013127501,Turtle Bay-East Midtown,1312,7501
M080060,Plymouth Tower,EAST 93 STREET,10128,-73.946704,40.781182,Manhattan,1,Residential Plaza,Full blockfront on west side of First Avenue between East 92nd and 93rd Streets,24 Hours,Yes,No,NULL,No,NULL,Yes,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; treatment of building walls with decorative lattice screen and stucco wall surfacing on East 92nd Street and East 93rd Street, gazebo in area adjacent to garage entrance on East 93rd Street",Yes,Planting; Trees within Space; Water Feature,Yes,Full/Partial,1977,Completed,Residential Plaza 7323.83 sf,8,NULL,"Schuman, Lichtenstein, Claman",Weintraub & di Domenico; William Q. Brothers III Architect (for alteration in 2010),999010,223887,5,154,1078668,1015550023,Yorkville,1555,23
M080043,Carnegie Towers,EAST 87 STREET,10128,-73.955598,40.780796,Manhattan,1,Plaza,North side of East 87th Street between Lexington and Park Avenues,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1972,Completed,Plaza 2633.40 sf,8,NULL,Jay Sam Unger & Associates,Jay Sam Unger & Associates,996547,223745,4,148.02,1048043,1015167502,Upper East Side-Carnegie Hill,1516,7502
M060040,NULL,EAST 42 STREET,10017,-73.973869,40.751016,Manhattan,1,Plaza,Northeast corner of East 42nd Street and Third Avenue,24 Hours,Yes,No,NULL,No,NULL,Yes,Bicycle Parking; Lighting; Litter Receptacles,Yes,Trees on Street,Yes,Full/Partial,1965,Completed,Plaza 1997.00 sf,6,NULL,Emery Roth & Sons,Ted Moudis Associates [2000 Sources: Emery Roth & Sons],991490,212893,4,88,1037549,1013160001,Turtle Bay-East Midtown,1316,1
M040009,River Place,WEST 42 STREET,10036,-74.000466,40.761271,Manhattan,1,Major Public Open Space; Public Open Space,"Block bounded by Eleventh Avenue, Twelfth Avenue, West 41st Street, and West 42nd Street",Restricted Hours,Yes,Yes,Yes,No,NULL,Yes,"Drinking Fountain; Food Service; Lighting; Litter Receptacles; Retail Frontage; Dog run, pavilion in the northern corner; 1 play area",Yes,Planting; Trees on Street; Trees within Space,Yes,None,1999,Completed,Major Public Open Space 0.00 sf; Public Open Space 0.00 sf,4,Silverstein Properties,CK Architecture,Thomas Balsley Associates,984121,216628,3,117,1085803,1010890001,Hudson Yards-Chelsea-Flatiron-Union Square,1089,1
M080068,NULL,EAST 86 STREET,10028,-73.947885,40.77588,Manhattan,1,Plaza,"South side of East 86th Street between York and First Avenues. Additional lot: 1565/17,29.",24 Hours,Yes,No,NULL,No,NULL,Yes,Lighting,No,Planting; Trees within Space,Yes,Full/Partial,1974,Completed,Plaza 7610.00 sf,8,Kal Associates,Philip Birnbaum,Philip Birnbaum,998684,221955,5,144.01,1050543,1015650029,Yorkville,1565,29
M050081,Ritz,WEST 48 STREET,10036,-73.986092,40.760894,Manhattan,1,Urban Plaza,North side of West 48th Street between Broadway and Eighth Avenue,Restricted Hours,Yes,Yes,NULL,Yes,NULL,Yes,Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1989,Completed,Urban Plaza 6690.42 sf,5,Jason Carter,Schuman Lichtenstein Claman Efron,Schuman Lichtenstein Claman Efron; Thomas Balsley Associates (for alterations circa 2000 and 2009),988103,216491,3,125,1076194,1010200005,Midtown-Midtown South,1020,5
M050021,Alliance Capital,SIXTH AVENUE,10105,-73.979254,40.763064,Manhattan,1,Plaza,West side of Sixth Avenue between West 54th and 55th Streets,24 Hours,Yes,Yes,NULL,Yes,NULL,Yes,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees within Space; Water Feature,Yes,Full/Partial,1968,Completed,Plaza 30171.00 sf,5,Fisher Brothers,Emery Roth & Sons,Emery Roth & Sons,989997,217282,4,137,1083719,1010070029,Midtown-Midtown South,1007,29
M080011,Concorde,EAST 65 STREET,10065,-73.962659,40.76444,Manhattan,1,Plaza,South side of East 65th Street between Second and Third Avenues,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1979,Completed,Plaza 1325.00 sf,8,NULL,Philip Birnbaum,Philip Birnbaum,994594,217785,4,118,1043869,1014197503,Lenox Hill-Roosevelt Island,1419,7503
K020003,NULL,METROTECH CENTER,11201,-73.986719,40.693222,Brooklyn,3,Commons and Public Areas,"Bounded by Jay Street, Tech Place, Bridge Street, Tillary Street, Flatbush Avenue, Duffield Street, and Willoughby Street",24 Hours,Yes,No,NULL,Yes,NULL,Yes,"Drinking Fountain; Lighting; Litter Receptacles; Subway; Jay Plaza: newsstand, trellis; Security",Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1990,Completed,Commons and Public Areas 0.00 sf,2,Forest City MetroTech Associates,"Haines Lundberg Waehler/Skidmore, Owings & Merrill/Swanke Hayden Connell",The Ehrenkrantz Group & Eckstut,987933,191836,33,11,3319418,3001470004,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,147,4
M050027,Tower 53,SEVENTH AVENUE,10019,-73.981279,40.762998,Manhattan,1,Plaza,Northwest corner of West 53rd Street and Seventh Avenue,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1967,Completed,Plaza 2554.70 sf,5,Loews Corporation,Russell M. Boak Associates,Russell M. Boak Associates,989436,217258,4,131,1023166,1010067501,Midtown-Midtown South,1006,7501
M060056,NULL,THIRD AVENUE,10022,-73.967903,40.758299,Manhattan,1,Arcade; Plaza,East Side of Third Avenue between East 54th and 55th Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1967,Completed,Arcade 7020.15 sf; Plaza 4622.08 sf,6,"Tishman Realty & Construction Co., Inc.",Emery Roth & Sons,Emery Roth & Sons,993142,215547,4,108,1038570,1013280001,Turtle Bay-East Midtown,1328,1
M060082,Rivergate,EAST 34 STREET,10016,-73.972537,40.743838,Manhattan,1,Residential Plaza,"Entire block bounded by FDR Drive, First Avenue, East 34th Street, and East 35th Street",24 Hours,Yes,Yes,NULL,Yes,NULL,Yes,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage; Childrens ,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1985,Completed,Residential Plaza 15682.00 sf,6,NULL,Philip Birnbaum & Associates,"2015 Modification: Matthews Nielsen Landscape Architects, PC and LightTime Design [2000 Sources: Philip Birnbaum & Associates; Thomas Balsley Associates; Landgarden Landscape Architects (for alteration)]",991860,210278,4,86.01,1022057,1009660001,Turtle Bay-East Midtown,966,1
M060006,NULL,EAST 34 STREET,10016,-73.978675,40.745467,Manhattan,1,Plaza,West side of Third Avenue between East 33rd and 34th Streets,24 Hours,No,No,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Full/Partial,1974,Completed,Plaza 4412.40 sf,6,NULL,Philip Birnbaum,Philip Birnbaum,990159,210871,2,72,1018502,1008890039,Murray Hill-Kips Bay,889,39
K020010,NULL,FULTON STREET,11217,-73.977918,40.687418,Brooklyn,3,Public Plaza,Building is located at the northeast corner of Fulton Street and St. Felix Street.,24 Hours,Yes,No,NULL,No,NULL,Yes,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees within Space,Yes,Full/Partial,2017,Completed,Public Plaza 2768.00 sf,2,NULL,NULL,"Langan, Civil Engineer & Landscape Architect",990374,189722,35,33,3424471,3021080001,Fort Greene,2108,1
