Name,Street_Address,Zipcode,Latitude,Longitude,Type,Location,Description,Open_Hours,Seating,Seating_and_Tables,Seating_Description,Food_Service,Food_Service_Description,Art,Restrooms,Restrooms_Description,Indoor_Location,Special_Amenities,Special_Amenities_Description,Signage,Signage_Description,Landscaping_Description,Accessibility,Year_Completed,Construction_Status,Subject_To_Downtown_PLN,Tax_Block_Number,Tax_Lot_Number,Parcel_Number,Current_Police_District,Current_Supervisor_District,Analysis_Neighborhood,Neighborhood
100 California St,100 California St,"28,860",-122.39797,37.79358,Plaza,Ground level exterior open space in the form of plazas and walkways,"This is a large plaza with planter boxes, along with smaller spaces along Davis Street. There is also space for food service to serve the plaza in the future.",24 Hours,Yes,NULL,"16 movable chairs, 4 tables, 52' of bench seating",Yes,NULL,No,No,NULL,NULL,NULL,NULL,No,Null,Pots of flowers,Direct,2013,Null,Yes,236,17,236017,6,3,8,108
1 Bush Street,1 Bush Street,"28,854",-122.4004526,37.79098054,Urban Garden,Below street level,This Urban Garden provides a sunken space featuring a water fountain. Space is accessed with stairs from Bush Street and curved walkways from Market street.,24 Hours,NULL,No,None besides steps.,No,NULL,Yes,No,NULL,NULL,NULL,NULL,No,Null,Willow Trees and planting. Interseting architectural design,Indirect,1959,Null,No,290,11,290011,6,3,8,108
555 Mission St,555 Mission St,"28,855",-122.39891,37.7884,Plaza,"Western side of Building, street level.",This large plaza has several art and landscaping features. It is located in front of 555 Mission Streets and runs along the west side of the building. There are several distinct sitting areas with different styles of seating.,24 Hours,Yes,Yes,100 linear seats and benches.,Yes,NULL,Yes,Yes,NULL,NULL,NULL,NULL,Yes,"3 signs. 2 old, one current compliant","9 trees, permeable gravel, bushes",Direct,2008,Null,Yes,3721,89,3721089,1,10,8,32
Crocker Galleria,165 Sutter St,"28,854",-122.4028214,37.78927548,Sun Terrace,"Third floor of shopping center, down dark hallway.",NULL,Restricted Hours,Yes,NULL,"24 benches measuring 7'8""",NULL,In building below.,No,Yes,NULL,NULL,NULL,NULL,No,"Sign in interior atrium only says ""roof garden""","8 large planter with trees, shrubbery around edge planters.",Very Indirect,1982,Null,No,292,2,292002,6,3,8,19
250 Howard,250 Howard,"28,855",-122.394009,37.790744,Urban Park (under construction),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Null,NULL,NULL,0,Under construction,Yes,3718,40,3718040,1,10,8,108
600 California St,600 California St,"28,857",-122.40487,37.79277,Snippet,"Northwest side of building, up the stairs from California Street beyond an artistic gateway.","A shady open space area with art in the form of sculptures. This snippet found on the northwest side of the building, up the stairs. It adjoins the open space of the adjacent building.",24 Hours,Yes,NULL,"37 seats, 28 are movable.",Yes,Café ,Yes,No,NULL,NULL,NULL,NULL,Yes,Null,"Flowers, succulents, shrubbery.",Direct,1990,Null,Yes,241,27,241027,6,3,6,104
120 Howard St,120 Howard St,"28,855",-122.39305,37.79107,"Uban Garden, Snippet",Interior courtyard between the building and the building adjacent to the east,This space features plants along the entirety of the snippet and is served by an espresso cart.,Restricted Hours,Yes,NULL,None.,Yes,Cart,No,No,NULL,NULL,NULL,NULL,No,Null,plants,Direct,2006,"Existed before, updated conditions",Yes,3717,19,3717019,1,10,8,108
525 Market St,525 Market St,"28,855",-122.3997369,37.79034281,Urban Garden,"Located along Market Street, at the building's side just southwest of main entrance.","This is a two level open space, with granite wall water fountains at the sidewalk level near Market Street and a view to the landscaped space on the second level.",24 Hours,Yes,NULL,"168' platform/box seating, 164' terraced steps, ~80 sq. ft. of turf, 11 tables with 44 movable chairs",Yes,NULL,Yes,No,NULL,NULL,NULL,NULL,No,Null,"Plant wall, water feature, abundant street trees, some turf on terraced steps.",Direct,1973,Null,No,3708,56,3708056,6,10,8,108
100 Pine St,100 Pine St,"28,860",-122.3991592,37.79273921,Urban Garden,NULL,"This Urban Garden is either accessed through the front entrance of the building or a narrow walkway on Front Street. This space offers water fountains, landscaping, and art.",Restricted Hours,Yes,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Null,Planting and flowers,NULL,1972,Null,No,262,20,262020,6,3,8,108
611 Folsom St,611 Folsom St,"28,856",-122.3967306,37.78516765,Plaza,NULL,"Brick plaza with some trees, artwork and seating on brick structures.",24 Hours,Yes,NULL,>200' deep brick ledge seating,No,NULL,No,No,NULL,NULL,NULL,NULL,No,Null,"7 trees, 6 bushes on sidewalk. Interesting architectural elements and unconventional use of brick.",Direct,1965,Null,No,3750,87,3750087,1,10,8,32
